EntryTime,PnL,closure_family_role,replication_context,replication_group,multi_bar_support_acceptance,orderly_reset,gate_support_stability_preserved,gate_base_compact,gate_directional_preparation_present,pre_acceptance_gate_intact,acceptance_missing_layer_present,support_to_release_sequence,momentum_persistence,support_residence_missing_layer_present
2019-04-22 08:00:00+00:00,22.62615133683996,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2019-05-06 12:00:00+00:00,280.24402377878755,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2019-05-19 00:00:00+00:00,-35.842347679162344,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2019-06-18 20:00:00+00:00,213.02481327916627,accepted_completed_reference,accepted_seed_reference,accepted_completed_reference,True,True,True,True,True,True,True,True,True,False
2019-06-28 08:00:00+00:00,-47.37120162154921,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2019-08-07 00:00:00+00:00,-22.138334190949767,other_long1,other_long1,other_long1,False,False,False,False,False,False,False,False,False,False
2020-01-31 12:00:00+00:00,-8.775631182375356,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2020-02-03 00:00:00+00:00,-13.35632431659338,other_long1,other_long1,other_long1,False,False,True,True,True,True,False,False,False,False
2020-02-05 08:00:00+00:00,57.61497926126308,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-02-11 12:00:00+00:00,-18.95167726665376,other_long1,other_long1,other_long1,False,False,False,True,True,False,False,False,False,False
2020-05-03 16:00:00+00:00,-26.32533715328247,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-05-04 12:00:00+00:00,-26.534307907778903,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-05-18 12:00:00+00:00,-15.618755749161608,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-05-30 20:00:00+00:00,-24.66856755980353,other_long1,other_long1,other_long1,False,False,True,True,False,False,False,False,False,False
2020-06-04 12:00:00+00:00,-14.54388663413781,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
2020-08-10 00:00:00+00:00,-24.065921995144347,other_long1,other_long1,other_long1,False,False,False,True,False,False,False,False,False,False
